Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,site\Site\Site.csproj,File,site\Site\Site.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 9,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 9  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,site\Site\Site.csproj,File,site\Site\Site.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.DevServer 9,,,,,"Microsoft.AspNetCore.Components.WebAssembly.DevServer, 9  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly.DevServer, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.DevServer 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,site\Site\Site.csproj,File,site\Site\Site.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,site\Site\Site.csproj,File,site\Site\Program.cs,8,0,T:System.Uri,,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,site\Site\Site.csproj,File,site\Site\Program.cs,8,0,M:System.Uri.#ctor(System.String),,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,site\Site\Site.csproj,File,site\Site\Program.cs,8,0,T:System.Uri,,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,samples\Wasm\Wasm.csproj,File,samples\Wasm\Wasm.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 9,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 9  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,samples\Wasm\Wasm.csproj,File,samples\Wasm\Wasm.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.DevServer 9,,,,,"Microsoft.AspNetCore.Components.WebAssembly.DevServer, 9  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly.DevServer, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.DevServer 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,samples\Wasm\Wasm.csproj,File,samples\Wasm\Wasm.csproj,,,System.Net.Http.Json 9.0.0,,,,,"System.Net.Http.Json, 9.0.0  Recommendation:  Remove System.Net.Http.Json, and replace with new package System.Net.Http.Json 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\Wasm\Wasm.csproj,File,samples\Wasm\Wasm.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\Wasm\Wasm.csproj,File,samples\Wasm\Program.cs,17,8,T:System.Uri,,,,,builder.Services.AddTransient(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\Wasm\Wasm.csproj,File,samples\Wasm\Program.cs,17,8,M:System.Uri.#ctor(System.String),,,,,builder.Services.AddTransient(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\Wasm\Wasm.csproj,File,samples\Wasm\Program.cs,17,8,T:System.Uri,,,,,builder.Services.AddTransient(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
